description,price,rank,link,other_name,g3d_mark,name
,,3178,http://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2070&id=1670,NVIDIA Tesla C2070,NA,Tesla C2070
,,3682,http://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2050+%2F+C2070&id=2515,NVIDIA Tesla C2050 / C2070,NA,Tesla C2050 / C2070
,,3450,http://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2050&id=1669,NVIDIA Tesla C2050,NA,Tesla C2050
,,497,http://www.videocardbenchmark.net/gpu.php?gpu=SUMO+964A&id=1922,SUMO 964A,NA,SUMO 964A
,,650,http://www.videocardbenchmark.net/gpu.php?gpu=SUMO+9640&id=1919,SUMO 9640,NA,SUMO 9640
,,2,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+Mirage+3&id=1910,SiS Mirage 3 Graphics,NA,SiS Mirage 3
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+Mirage&id=1911,SiS Mirage Graphics,NA,SiS Mirage
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+M760GX&id=1909,SiS M760GX,NA,SiS M760GX
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+M661MX&id=1905,SiS M661MX,NA,SiS M661MX
,,5,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+760&id=1900,SiS 760,NA,SiS 760
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+741&id=1899,SiS 741,NA,SiS 741
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+661FX_760_741_M661FX_M760_M741&id=1897,SiS 661FX_760_741_M661FX_M760_M741,NA,SiS 661FX_760_741_M661FX_M760_M741
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+661FX%2FGX+Mirage&id=1895,SiS 661FX/GX Mirage Graphics,NA,SiS 661FX/GX Mirage
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+661FX&id=1894,SiS 661FX,NA,SiS 661FX
,,2,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+651&id=1890,SiS 651,NA,SiS 651
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+650_651_M650_M652_740&id=1889,SiS 650_651_M650_M652_740,NA,SiS 650_651_M650_M652_740
,,1,http://www.videocardbenchmark.net/gpu.php?gpu=SiS+630%2F730&id=1884,SiS 630/730,NA,SiS 630/730
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=Sherry+1.3.2+beta+for+945+chipsets&id=1879,Sherry 1.3.2 beta for 945 chipsets (GME/GSE),NA,Sherry 1.3.2 beta for 945 chipsets
,,1,http://www.videocardbenchmark.net/gpu.php?gpu=Sherry+1.3+for+GMA+3150&id=1877,Sherry 1.3 for GMA 3150,NA,Sherry 1.3 for GMA 3150
