memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>ASUS X555LB-DM456T Notebook Árak - ASUS X555LB-DM456T Laptop Akció</title>,2 GB,2.4 GHz,,"
          239 990 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/x555lb-dm456t-p327645093/,Nvidia GeForce 940M,8 GB,Dedikált,5500U,1600 MHz,"15.6"""
,<title>HP Pavilion Gaming 17-ab004nc W7T37EA Notebook Árak - HP Pavilion Gaming 17-ab004nc W7T37EA Laptop Akció</title>,4 GB,2.6 GHz,,"
          397 990 Ft-tól
      ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/hp/pavilion-gaming-17-ab004nc-w7t37ea-p340559452/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
,<title>ASUS ROG GL502VT-FY031T Notebook Árak - ASUS ROG GL502VT-FY031T Laptop Akció</title>,6 GB,2.6 GHz,,"
          489 990 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-gl502vt-fy031t-p340910310/,Nvidia GeForce GTX 970M,12 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
16 GB,<title>Lenovo ThinkPad P40 Yoga 20GQ000JHV Notebook Árak - Lenovo ThinkPad P40 Yoga 20GQ000JHV Laptop Akció</title>,2 GB,2.5 GHz,1,"
          699 390 Ft
        ",Windows 10 Pro,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/thinkpad-p40-yoga-20gq000jhv-p333893098/,Nvidia Quadro M500M,8 GB,Dedikált,6500U,1600 MHz,"14"""
64 GB,<title>Lenovo ThinkPad P70 20ER000BHV Notebook Árak - Lenovo ThinkPad P70 20ER000BHV Laptop Akció</title>,2 GB,2.6 GHz,4,"
          799 200 Ft-tól
      ",Windows 10 Pro,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/thinkpad-p70-20er000bhv-p333282869/,Nvidia Quadro M600M,8 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
16 GB,<title>Dell Inspiron 5559 INSP5559-5 Notebook Árak - Dell Inspiron 5559 INSP5559-5 Laptop Akció</title>,4 GB,2.5 GHz,2,"
          317 130 Ft-tól
      ",Windows 10 Pro,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-insp5559-5-p328509829/,AMD Radeon R5 M335,16 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>Acer Aspire V Nitro VN7-592G-7079S W10 NX.G6HEC.002 Notebook Árak - Acer Aspire V Nitro VN7-592G-7079S W10 NX.G6HEC.002 Laptop Akció</title>,2 GB,2.6 GHz,,"
          334 990 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/acer/aspire-v-nitro-vn7-592g-7079s-w10-nx-g6hec-002-p319995699/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,1600 MHz,"15.6"""
16 GB,<title>MSI PX60-2QDi716H11 Notebook Árak - MSI PX60-2QDi716H11 Laptop Akció</title>,2 GB,2.7 GHz,2,"
          442 990 Ft-tól
      ",Windows 8.1,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/px60-2qdi716h11-p286085967/,Nvidia GeForce GTX 950M,16 GB,Dedikált,5700HQ,1600 MHz,"15.6"""
64 GB,<title>ASUS ROG G752VL-GC067T Notebook Árak - ASUS ROG G752VL-GC067T Laptop Akció</title>,2 GB,2.6 GHz,4,"
          549 900 Ft
        ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g752vl-gc067t-p325716357/,Nvidia GeForce GTX 965M,24 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
12 GB,<title>ASUS K501UX-DM050T Notebook Árak - ASUS K501UX-DM050T Laptop Akció</title>,2 GB,2.5 GHz,,"
          310 990 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/k501ux-dm050t-p336972466/,Nvidia GeForce GTX 950M,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>ASUS ROG G751JY-T7328T Notebook Árak - ASUS ROG G751JY-T7328T Laptop Akció</title>,4 GB,2.6 GHz,,"
          652 670 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g751jy-t7328t-p307881541/,Nvidia GeForce GTX 980M,16 GB,Dedikált,4720HQ,,"17.3"""
,<title>MSI WT72-6QK16H11 Notebook Árak - MSI WT72-6QK16H11 Laptop Akció</title>,4 GB,,,"
          1 099 990 Ft
        ",Windows 10 Pro,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/wt72-6qk16h11-p332676959/,Nvidia Quadro M3000M,16 GB,Dedikált,6700HQ,,"17.3"""
