core,name,clock,price,rank,link,other_name,g3d_mark,description
Socket:AM2+Clockspeed:2.6 GHz4Typical TDP:125 W,AMD Phenom 9950 Quad-Core,Socket:AM2+2.6 GHzNo of Cores:4Typical TDP:125 W,,3014Single Thread Rating: 889,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9950+Quad-Core&id=308,AMD Phenom(tm) 9950 Quad-Core Processor,,
Clockspeed:2.5 GHz4Typical TDP:95 W,AMD Phenom 9850B Quad-Core,2.5 GHzNo of Cores:4Typical TDP:95 W,,3160Single Thread Rating: 909,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9850B+Quad-Core&id=1574,AMD Phenom(tm) 9850B Quad-Core Processor,,
Socket:AM2+Clockspeed:2.5 GHz4Typical TDP:125 W,AMD Phenom 9850 Quad-Core,Socket:AM2+2.5 GHzNo of Cores:4Typical TDP:125 W,,2897Single Thread Rating: 847,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9850+Quad-Core&id=307,AMD Phenom(tm) 9850 Quad-Core Processor,,
Socket:AM2+Clockspeed:2.4 GHz4Typical TDP:95 W,AMD Phenom 9750B Quad-Core,Socket:AM2+2.4 GHzNo of Cores:4Typical TDP:95 W,,2709Single Thread Rating: 835,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9750B+Quad-Core&id=1573,AMD Phenom(tm) 9750B Quad-Core Processor,,
Socket:AM2+Clockspeed:2.3 GHz4Typical TDP:95 W,AMD Phenom 9650 Quad-Core,Socket:AM2+2.3 GHzNo of Cores:4Typical TDP:95 W,,2639Single Thread Rating: 789,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9650+Quad-Core&id=305,AMD Phenom(tm) 9650 Quad-Core Processor,,
Socket:AM2+Clockspeed:2.4 GHz4Typical TDP:125 W,AMD Phenom 9750 Quad-Core,Socket:AM2+2.4 GHzNo of Cores:4Typical TDP:125 W,,2820Single Thread Rating: 831,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9750+Quad-Core&id=306,AMD Phenom(tm) 9750 Quad-Core Processor,,
Socket:AM2+Clockspeed:2.3 GHz4Typical TDP:95 W,AMD Phenom 9600 Quad-Core,Socket:AM2+2.3 GHzNo of Cores:4Typical TDP:95 W,,2306Single Thread Rating: 791,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9600+Quad-Core&id=303,AMD Phenom(tm) 9600 Quad-Core Processor,,
Socket:AM2+Clockspeed:2.3 GHz4Typical TDP:95 W,AMD Phenom 9600B Quad-Core,Socket:AM2+2.3 GHzNo of Cores:4Typical TDP:95 W,,2580Single Thread Rating: 787,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9600B+Quad-Core&id=304,AMD Phenom(tm) 9600B Quad-Core Processor,,
Socket:AM2+Clockspeed:2.2 GHz4Typical TDP:95 W,AMD Phenom 9550 Quad-Core,Socket:AM2+2.2 GHzNo of Cores:4Typical TDP:95 W,,2541Single Thread Rating: 758,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9550+Quad-Core&id=302,AMD Phenom(tm) 9550 Quad-Core Processor,,
Socket:AM2+Clockspeed:2.2 GHz4Typical TDP:95 W,AMD Phenom 9500 Quad-Core,Socket:AM2+2.2 GHzNo of Cores:4Typical TDP:95 W,,2210Single Thread Rating: 755,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9500+Quad-Core&id=301,AMD Phenom(tm) 9500 Quad-Core Processor,,
Socket:AM2+Clockspeed:2.1 GHz4Typical TDP:65 W,AMD Phenom 9450e Quad-Core,Socket:AM2+2.1 GHzNo of Cores:4Typical TDP:65 W,,2621Single Thread Rating: 759,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9450e+Quad-Core&id=300,AMD Phenom(tm) 9450e Quad-Core Processor,,
Socket:AM2+Clockspeed:1.8 GHz4Typical TDP:65 W,AMD Phenom 9150e Quad-Core,Socket:AM2+1.8 GHzNo of Cores:4Typical TDP:65 W,,2116Single Thread Rating: 619,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9150e+Quad-Core&id=298,AMD Phenom(tm) 9150e Quad-Core Processor,,
Socket:AM2+Clockspeed:2.0 GHz4Typical TDP:65 W,AMD Phenom 9350e Quad-Core,Socket:AM2+2.0 GHzNo of Cores:4Typical TDP:65 W,,2320Single Thread Rating: 672,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9350e+Quad-Core&id=299,AMD Phenom(tm) 9350e Quad-Core Processor,,
Socket:AM2+Clockspeed:1.8 GHz4Typical TDP:65 W,AMD Phenom 9100e Quad-Core,Socket:AM2+1.8 GHzNo of Cores:4Typical TDP:65 W,,1838Single Thread Rating: 625,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+9100e+Quad-Core&id=297,AMD Phenom(tm) 9100e Quad-Core Processor,,
Clockspeed:2.5 GHz3Typical TDP:95 W,AMD Phenom 8850B Triple-Core,2.5 GHzNo of Cores:3Typical TDP:95 W,,2080Single Thread Rating: 890,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+8850B+Triple-Core&id=296,AMD Phenom(tm) 8850B Triple-Core Processor,,
