memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>ASUS VivoBook Pro 17 N705UQ-GC027T Notebook Árak - ASUS VivoBook Pro 17 N705UQ-GC027T Laptop Akció</title>,2 GB,2.4 GHz,2,"
          209 900 Ft-tól
      ",Windows 10 Home,Intel Core i3,DDR4,1600 x 900,https://www.arukereso.hu/notebook-c3100/asus/vivobook-pro-17-n705uq-gc027t-p387143729/,GeForce 940MX,8 GB,Dedikált,7100U,2133 MHz,"17.3"""
,<title>Lenovo Yoga 520 80X800AUHV Notebook Árak - Lenovo Yoga 520 80X800AUHV Laptop Akció</title>,2 GB,2.5 GHz,,"
          289 889 Ft
        ",Windows 10 Home,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/yoga-520-80x800auhv-p380717171/,Nvidia GeForce 940MX,8 GB,Dedikált,7200U,2133 MHz,"14"""
,<title>Acer Aspire 5 A517-51G-31L8 NX.GVPEU.002 Notebook Árak - Acer Aspire 5 A517-51G-31L8 NX.GVPEU.002 Laptop Akció</title>,,2.7 GHz,,"
          161 900 Ft-tól
      ",Windows 10 Home,Intel Core i3,DDR4,1600 x 900,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a517-51g-31l8-nx-gvpeu-002-p399150435/,GeForce MX130,4 GB,Dedikált,7130U,,"17.3"""
,<title>ASUS VivoBook Max X541UV-GQ966 Notebook Árak - ASUS VivoBook Max X541UV-GQ966 Laptop Akció</title>,,2.5 GHz,,"
          171 171 Ft-tól
      ",Linux,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/asus/vivobook-max-x541uv-gq966-p402197443/,,4 GB,Dedikált,7200U,,"15.6"""
,<title>Lenovo IdeaPad 520 80YL00A9HV Notebook Árak - Lenovo IdeaPad 520 80YL00A9HV Laptop Akció</title>,4 GB,2.5 GHz,1,"
          199 870 Ft-tól
      ",FreeDOS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-520-80yl00a9hv-p381708911/,GeForce 940MX,4 GB,Dedikált,7200U,2133 MHz,"15.6"""
,<title>Dell Inspiron 5567 DI5567I-6600-4GH1TW13BK Notebook Árak - Dell Inspiron 5567 DI5567I-6600-4GH1TW13BK Laptop Akció</title>,,2 GHz,,"
          180 492 Ft-tól
      ",Windows 10 Home,Intel Core i3,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-di5567i-6600-4gh1tw13bk-p385294849/,Radeon R7 M440,4 GB,Dedikált,6006U,2133 MHz,"15.6"""
,<title>Dell Inspiron 3567 DI3567-I36006-A24GS256UDF4BK Notebook Árak - Dell Inspiron 3567 DI3567-I36006-A24GS256UDF4BK Laptop Akció</title>,2 GB,2 GHz,,"
          154 661 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-3567-di3567-i36006-a24gs256udf4bk-p388079933/,Radeon R5 M430,4 GB,Dedikált,6006U,2400 MHz,"15.6"""
,<title>Lenovo Legion Y520 80WY002PHV Notebook Árak - Lenovo Legion Y520 80WY002PHV Laptop Akció</title>,,2.5 GHz,,"
          274 890 Ft-tól
      ",FreeDOS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/legion-y520-80wy002phv-p393696149/,Radeon RX 560M,8 GB,Dedikált,7300HQ,2400 MHz,"15.6"""
,<title>Lenovo IdeaPad 520 81BF00D2HV Notebook Árak - Lenovo IdeaPad 520 81BF00D2HV Laptop Akció</title>,,1.60 GHz,,"
          235 204 Ft-tól
      ",FreeDOS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-520-81bf00d2hv-p398348885/,Geforce 1040,4 GB,Dedikált,8250U,2133 MHz,"15.6"""
,<title>Dell Inspiron 5559 DI5559A2-6200-8GH1TD4BK Notebook Árak - Dell Inspiron 5559 DI5559A2-6200-8GH1TD4BK Laptop Akció</title>,2 GB,2.3 GHz,,"
          189 014 Ft
        ",Operációs rendszer nélkül,Intel Core i5,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-di5559a2-6200-8gh1td4bk-p332411517/,AMD Radeon R5 M335,8 GB,Dedikált,6200U,1600 MHz,"15.6"""
